name,email,phoneNumber,address,dob,customerId
user1,user1@gmail.com,1111111111,home1,12-06-2022,CUS1000
user2,user2@gmail.com,1111111112,home2,12-06-2022,CUS1001
user3,user3@gmail.com,1111111113,home3,12-06-2022,CUS1002
user4,user4@gmail.com,1111111114,home4,12-06-2022,CUS1003
user5,user5@gmail.com,1111111115,home5,12-06-2022,CUS1004
user6,user6@gmail.com,1111111116,home6,12-06-2022,CUS1005
user7,user7@gmail.com,1111111117,home7,12-06-2022,CUS1006
user8,user8@gmail.com,1111111118,home8,12-06-2022,CUS1007
user9,user9@gmail.com,1111111119,home9,12-06-2022,CUS1008
fewfwef,fd@gmail.com,1111123456,grsgre,12-09-2020,CUS1009
awsaws,sfsd@gmail.com,9990090909,fwfwe,12-09-8990,CUS1010
fafwf,ght@gmail.com,9890768965,cdsaca,12-03-2020,CUS1011
